Player Name,Position,Team,Slate Type,Date,Role,Salary,Draftable ID,Projected FP,Combined FP,Value,Implied FP,Points,Rebounds,Assists,Threes,Blocks,Steals,Turnovers,PointsReboundsAssists,PointsRebounds,PointsAssists,ReboundsAssists,FreeThrowsAttempts,FreeThrowsMade,FieldGoals,AssistsQ1,ReboundsQ1,PointsQ1,BlocksSteals,Fantasy Score,Headshot URL,Game Start Time,Match Title (Underdog),Game Short Title (Underdog),Venue Name (Underdog),Venue Type (Underdog),Broadcasts (Underdog),Game Start Time (DRAFTTABLE),Player,Opp,AST Avg,BLK Avg,DRB Avg,FG Avg,FGA Avg,FPTS Avg,MIN Avg,ORB Avg,PTS Avg,REB Avg,STL Avg,TO Avg,DraftKings,FanDuel,PrizePicks,Underdog,Fav,Spread,O/U,Player Salary,Player Image,Tournament,EST. Return Date,Injury Status,Comment,Starter,Opp,PrizePicks,MIN Avg,DvP Projection,DVP Rank,Opp +/-,Average Projected,DVP Adjusted,Total Projection,Underdog Line,NBA Fantasy Score
Jalen Brunson,PG,NYK,2nd Half Showdown Captain Mode,Thu May 21 2026 01:00:00 GMT-0500 (Central Daylight Time),2nd Half Showdown Captain Mode 5/21 9:00PM (CLE @ NYK),10400,43109673,41.95,41.72,4.03,31.2,27.324,2.9872,6.1282,2.5275,0.1698,0.6144,2.554,37.1628,30.5,34.2427,9.3917,6.7407,5.6972,9.3708,1.6833,0.5974,8.0297,,,https://dkn.gs/sports/images/nba/players/50/33006.png,n/a,CLE @ NYK,Cavaliers @ Knicks,N/A,N/A,ESPN,5/21/2026,Jalen Brunson,CLE,6.5,0.5,2.8,9.6,20.4,43,39,0.4,27.5,2.92,0.5,2.5,41.65,41.254,41.254,41.254,Yes,-5.5,215.2,8700,https://dkn.gs/sports/images/nba/players/50/33006.png, @ ,,,,Yes,CLE,41.254,39,39.219375,16,0.1784482759,45.084,45.26244828,43.45438276,40.45,40.0167
Jalen Brunson,PG,NYK,Classic,Thu May 21 2026 01:00:00 GMT-0500 (Central Daylight Time),"Classic 5/21 8:00PM (Thu-Fri), 2 Games",8700,43109373,41.95,41.61,4.82,26.1,27.324,2.9872,6.1282,2.5275,0.1698,0.6144,2.554,37.1628,30.5,34.2427,9.3917,6.7407,5.6972,9.3708,1.6833,0.5974,8.0297,,,https://dkn.gs/sports/images/nba/players/50/33006.png,n/a,CLE @ NYK,Cavaliers @ Knicks,N/A,N/A,ESPN,5/21/2026,Jalen Brunson,CLE,6.5,0.5,2.8,9.6,20.4,43,39,0.4,27.5,2.92,0.5,2.5,41.65,41.254,41.254,41.254,Yes,-5.5,215.2,8700,https://dkn.gs/sports/images/nba/players/50/33006.png, @ ,,,,Yes,CLE,41.254,39,39.219375,16,0.1784482759,45.084,45.26244828,43.45438276,40.45,40.0167
Donovan Mitchell,CPT,CLE,Showdown Captain Mode,Thu May 21 2026 01:00:00 GMT-0500 (Central Daylight Time),Showdown Captain Mode 5/21 8:00PM (CLE @ NYK),14700,43109639,41.52,41.55,2.82,44.1,27.1783,4.2615,3.8766,2.9772,0.2698,1.2045,2.5345,35.4017,31.3803,30.8187,8.1464,5.9812,4.9854,8.7375,0.625,1.2048,6.4688,1.7343,,https://dkn.gs/sports/images/nba/players/50/33398.png,n/a,CLE @ NYK,Cavaliers @ Knicks,N/A,N/A,ESPN,5/21/2026,Donovan Mitchell,NYK,3.5,0.5,4,8.8,19.5,38.6,39,0.7,27.07,4.5,1.5,2.5,40.695,41.22,41.22,41.22,No,5.5,215.2,8300,https://dkn.gs/sports/images/nba/players/50/33398.png, @ ,,,,Yes,NYK,41.22,39,34.328125,24,-1.533103448,51.74776119,50.21465775,47.57496965,40.05,40.76249
Donovan Mitchell,CPT,CLE,2nd Half Showdown Captain Mode,Thu May 21 2026 01:00:00 GMT-0500 (Central Daylight Time),2nd Half Showdown Captain Mode 5/21 9:00PM (CLE @ NYK),14700,43109711,41.52,41.55,2.82,44.1,27.1783,4.2615,3.8766,2.9772,0.2698,1.2045,2.5345,35.4017,31.3803,30.8187,8.1464,5.9812,4.9854,8.7375,0.625,1.2048,6.4688,1.7343,,https://dkn.gs/sports/images/nba/players/50/33398.png,n/a,CLE @ NYK,Cavaliers @ Knicks,N/A,N/A,ESPN,5/21/2026,Donovan Mitchell,NYK,3.5,0.5,4,8.8,19.5,38.6,39,0.7,27.07,4.5,1.5,2.5,40.695,41.22,41.22,41.22,No,5.5,215.2,8300,https://dkn.gs/sports/images/nba/players/50/33398.png, @ ,,,,Yes,NYK,41.22,39,34.328125,24,-1.533103448,51.74776119,50.21465775,47.57496965,40.05,40.76249
Donovan Mitchell,SG,CLE,Showdown Captain Mode,Thu May 21 2026 01:00:00 GMT-0500 (Central Daylight Time),Showdown Captain Mode 5/21 8:00PM (CLE @ NYK),9800,43109603,41.52,41.39,4.24,29.4,27.1783,4.2615,3.8766,2.9772,0.2698,1.2045,2.5345,35.4017,31.3803,30.8187,8.1464,5.9812,4.9854,8.7375,0.625,1.2048,6.4688,1.7343,,https://dkn.gs/sports/images/nba/players/50/33398.png,n/a,CLE @ NYK,Cavaliers @ Knicks,N/A,N/A,ESPN,5/21/2026,Donovan Mitchell,NYK,3.5,0.5,4,8.8,19.5,38.6,39,0.7,27.07,4.5,1.5,2.5,40.695,41.22,41.22,41.22,No,5.5,215.2,8300,https://dkn.gs/sports/images/nba/players/50/33398.png, @ ,,,,Yes,NYK,41.22,39,34.328125,24,-1.533103448,51.74776119,50.21465775,47.57496965,40.05,40.76249
Donovan Mitchell,SG,CLE,2nd Half Showdown Captain Mode,Thu May 21 2026 01:00:00 GMT-0500 (Central Daylight Time),2nd Half Showdown Captain Mode 5/21 9:00PM (CLE @ NYK),9800,43109675,41.52,41.39,4.24,29.4,27.1783,4.2615,3.8766,2.9772,0.2698,1.2045,2.5345,35.4017,31.3803,30.8187,8.1464,5.9812,4.9854,8.7375,0.625,1.2048,6.4688,1.7343,,https://dkn.gs/sports/images/nba/players/50/33398.png,n/a,CLE @ NYK,Cavaliers @ Knicks,N/A,N/A,ESPN,5/21/2026,Donovan Mitchell,NYK,3.5,0.5,4,8.8,19.5,38.6,39,0.7,27.07,4.5,1.5,2.5,40.695,41.22,41.22,41.22,No,5.5,215.2,8300,https://dkn.gs/sports/images/nba/players/50/33398.png, @ ,,,,Yes,NYK,41.22,39,34.328125,24,-1.533103448,51.74776119,50.21465775,47.57496965,40.05,40.76249
Donovan Mitchell,SG,CLE,Classic,Thu May 21 2026 01:00:00 GMT-0500 (Central Daylight Time),"Classic 5/21 8:00PM (Thu-Fri), 2 Games",8300,43109380,41.52,41.34,5,24.9,27.1783,4.2615,3.8766,2.9772,0.2698,1.2045,2.5345,35.4017,31.3803,30.8187,8.1464,5.9812,4.9854,8.7375,0.625,1.2048,6.4688,1.7343,,https://dkn.gs/sports/images/nba/players/50/33398.png,n/a,CLE @ NYK,Cavaliers @ Knicks,N/A,N/A,ESPN,5/21/2026,Donovan Mitchell,NYK,3.5,0.5,4,8.8,19.5,38.6,39,0.7,27.07,4.5,1.5,2.5,40.695,41.22,41.22,41.22,No,5.5,215.2,8300,https://dkn.gs/sports/images/nba/players/50/33398.png, @ ,,,,Yes,NYK,41.22,39,34.328125,24,-1.533103448,51.74776119,50.21465775,47.57496965,40.05,40.76249
James Harden,CPT,CLE,Showdown Captain Mode,Thu May 21 2026 01:00:00 GMT-0500 (Central Daylight Time),Showdown Captain Mode 5/21 8:00PM (CLE @ NYK),14100,43109640,36.64,36.81,2.6,42.3,17.9919,4.4199,5.861,2.12,0.4928,1.0737,,29.2825,22.7475,24.3334,10.6617,6.0287,5.0201,4.9035,1.5249,0.6354,4.1904,,,https://dkn.gs/sports/images/nba/players/50/33070.png,n/a,CLE @ NYK,Cavaliers @ Knicks,N/A,N/A,ESPN,5/21/2026,James Harden,NYK,6.09,0.5,4.3,5.3,12.8,34.7,39,0.6,18.24,4.5,1.5,3.6,35.2,35.175,35.175,35.175,No,5.5,215.2,7800,https://dkn.gs/sports/images/nba/players/50/33070.png, @ ,,,,Yes,NYK,35.175,39,35.76625,29,-4.071551724,44.43461538,40.36306366,40.52907968,34.75,36.78956
James Harden,CPT,CLE,2nd Half Showdown Captain Mode,Thu May 21 2026 01:00:00 GMT-0500 (Central Daylight Time),2nd Half Showdown Captain Mode 5/21 9:00PM (CLE @ NYK),14100,43109712,36.64,36.81,2.6,42.3,17.9919,4.4199,5.861,2.12,0.4928,1.0737,,29.2825,22.7475,24.3334,10.6617,6.0287,5.0201,4.9035,1.5249,0.6354,4.1904,,,https://dkn.gs/sports/images/nba/players/50/33070.png,n/a,CLE @ NYK,Cavaliers @ Knicks,N/A,N/A,ESPN,5/21/2026,James Harden,NYK,6.09,0.5,4.3,5.3,12.8,34.7,39,0.6,18.24,4.5,1.5,3.6,35.2,35.175,35.175,35.175,No,5.5,215.2,7800,https://dkn.gs/sports/images/nba/players/50/33070.png, @ ,,,,Yes,NYK,35.175,39,35.76625,29,-4.071551724,44.43461538,40.36306366,40.52907968,34.75,36.78956
Evan Mobley,CPT,CLE,Showdown Captain Mode,Thu May 21 2026 01:00:00 GMT-0500 (Central Daylight Time),Showdown Captain Mode 5/21 8:00PM (CLE @ NYK),13500,43109641,36.52,36.6,2.7,40.5,15.593,8.3691,3.3978,1.1598,1.5714,0.5841,,28.4664,24.5882,19.1919,12.2197,4.0145,2.443,6.0686,0.5941,2.0395,3.8101,2.522,,https://dkn.gs/sports/images/nba/players/50/590986.png,n/a,CLE @ NYK,Cavaliers @ Knicks,N/A,N/A,ESPN,5/21/2026,Evan Mobley,NYK,3.5,1.5,6.6,6.4,12.2,32.6,37,1.9,15.5,8.5,0.5,2.2,34.275,34.75,34.75,34.75,No,5.5,215.2,7600,https://dkn.gs/sports/images/nba/players/50/590986.png, @ ,,,,,NYK,34.75,37,34.25583333,25,-2.718596491,46.04702194,43.32842545,42.51092913,37.45,38.15734
