PLAYER,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3sPM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,Plus/Minus,FP
Tre Mann,CHA,CHA vs. LAL,11/10/2025,L,18,6,2,6,33.3,2,5,40,0,0,-,1,1,2,5,0,0,2,1,3,13.9
Kon Knueppel,CHA,CHA vs. LAL,11/10/2025,L,38,19,6,11,54.5,2,6,33.3,5,5,100,2,8,10,9,1,0,3,1,-4,44.5
Dalton Knecht,LAL,LAL @ CHA,11/10/2025,W,11,3,1,4,25,1,1,100,0,0,-,2,3,5,0,0,1,0,1,-9,12
Jaxson Hayes,LAL,LAL @ CHA,11/10/2025,W,15,2,1,2,50,0,0,-,0,0,-,1,4,5,0,0,1,0,2,4,11
KJ Simpson,CHA,CHA vs. LAL,11/10/2025,L,20,8,3,6,50,2,4,50,0,0,-,0,3,3,4,0,0,3,3,4,14.6
Rui Hachimura,LAL,LAL @ CHA,11/10/2025,W,36,21,9,12,75,3,3,100,0,0,-,2,1,3,1,1,0,1,1,13,28.1
Ryan Kalkbrenner,CHA,CHA vs. LAL,11/10/2025,L,19,9,3,4,75,0,0,-,3,3,100,3,1,4,0,0,0,4,4,-10,9.8
Jrue Holiday,POR,POR @ ORL,11/10/2025,L,36,13,6,14,42.9,1,4,25,0,0,-,2,5,7,7,2,1,3,0,14,37.9
Toumani Camara,POR,POR @ ORL,11/10/2025,L,34,8,3,9,33.3,1,6,16.7,1,1,100,1,4,5,3,1,1,1,3,3,23.5
Jonathan Isaac,ORL,ORL vs. POR,11/10/2025,W,14,7,2,5,40,1,3,33.3,2,2,100,3,3,6,0,2,0,0,0,8,20.2
Wendell Carter Jr.,ORL,ORL vs. POR,11/10/2025,W,30,19,8,12,66.7,1,3,33.3,2,2,100,5,4,9,5,0,2,4,4,2,39.3
Jett Howard,ORL,ORL vs. POR,11/10/2025,W,19,3,1,5,20,1,3,33.3,0,0,-,0,2,2,2,0,1,0,1,8,11.4
Donovan Clingan,POR,POR @ ORL,11/10/2025,L,29,2,1,5,20,0,2,0,0,0,-,2,7,9,0,0,0,0,3,-4,12.8
Duop Reath,POR,POR @ ORL,11/10/2025,L,4,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,3,-4,0
Sidy Cissoko,POR,POR @ ORL,11/10/2025,L,10,4,1,1,100,1,1,100,1,2,50,1,1,2,1,0,0,0,2,-7,7.9
Tyus Jones,ORL,ORL vs. POR,11/10/2025,W,6,0,0,1,0,0,1,0,0,0,-,0,0,0,0,0,0,0,0,4,0
Pat Connaughton,CHA,CHA vs. LAL,11/10/2025,L,8,0,0,0,-,0,0,-,0,0,-,0,5,5,0,1,0,1,0,5,8
Robert Williams III,POR,POR @ ORL,11/10/2025,L,14,7,3,4,75,1,1,100,0,0,-,3,1,4,0,1,0,0,0,-6,14.8
Jarred Vanderbilt,LAL,LAL @ CHA,11/10/2025,W,16,0,0,0,-,0,0,-,0,0,-,0,1,1,1,0,0,1,4,0,1.7
Collin Sexton,CHA,CHA vs. LAL,11/10/2025,L,26,13,4,9,44.4,1,3,33.3,4,4,100,0,0,0,3,1,0,4,4,-16,16.5
Paolo Banchero,ORL,ORL vs. POR,11/10/2025,W,35,28,10,18,55.6,2,3,66.7,6,10,60,0,9,9,3,1,0,2,4,-7,44.3
Sion James,CHA,CHA vs. LAL,11/10/2025,L,25,7,2,5,40,2,3,66.7,1,2,50,0,1,1,1,0,1,2,2,-15,10.7
Desmond Bane,ORL,ORL vs. POR,11/10/2025,W,33,22,9,19,47.4,1,6,16.7,3,3,100,1,2,3,7,0,0,3,3,1,33.1
Jake LaRavia,LAL,LAL @ CHA,11/10/2025,W,25,6,2,8,25,0,3,0,2,2,100,1,0,1,3,1,0,0,4,-9,14.7
Marcus Smart,LAL,LAL @ CHA,11/10/2025,W,37,13,4,9,44.4,3,7,42.9,2,2,100,2,2,4,6,7,0,3,1,15,44.8
Goga Bitadze,ORL,ORL vs. POR,11/10/2025,W,18,7,1,3,33.3,0,1,0,5,5,100,0,5,5,1,1,2,0,3,3,23.5
Shaedon Sharpe,POR,POR @ ORL,11/10/2025,L,29,31,12,18,66.7,3,5,60,4,7,57.1,0,3,3,1,0,0,1,2,4,35.1
Franz Wagner,ORL,ORL vs. POR,11/10/2025,W,36,19,5,10,50,1,2,50,8,8,100,2,7,9,6,1,2,2,3,-1,45.8
Deni Avdija,POR,POR @ ORL,11/10/2025,L,35,27,7,18,38.9,4,9,44.4,9,10,90,1,4,5,5,0,1,2,5,-11,41.5
