PLAYER,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3sPM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,Plus/Minus,FP
PJ Hall,MEM,MEM vs. IND,10/25/2025,W,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,1,0,-5,-1
Olivier-Maxence Prosper,MEM,MEM vs. IND,10/25/2025,W,2,0,0,1,0,0,1,0,0,0,-,0,2,2,0,0,0,0,0,-5,2.4
GG Jackson,MEM,MEM vs. IND,10/25/2025,W,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,1,-5,0
Santi Aldama,MEM,MEM vs. IND,10/25/2025,W,21,9,4,9,44.4,1,3,33.3,0,0,-,3,5,8,1,0,2,0,1,13,26.1
John Konchar,MEM,MEM vs. IND,10/25/2025,W,25,9,4,6,66.7,0,2,0,1,1,100,1,4,5,2,3,2,0,2,29,33
Jock Landale,MEM,MEM vs. IND,10/25/2025,W,26,8,3,8,37.5,1,2,50,1,2,50,4,4,8,1,0,0,0,3,19,19.1
Jaren Jackson Jr.,MEM,MEM vs. IND,10/25/2025,W,25,17,6,11,54.5,1,3,33.3,4,6,66.7,0,2,2,1,0,0,1,3,6,19.9
Kentavious Caldwell-Pope,MEM,MEM vs. IND,10/25/2025,W,23,10,3,11,27.3,1,5,20,3,4,75,0,4,4,5,1,0,1,1,-7,24.3
Dominick Barlow,PHI,PHI vs. CHA,10/25/2025,W,16,2,1,2,50,0,1,0,0,0,-,1,3,4,0,0,0,1,1,7,5.8
Jabari Walker,PHI,PHI vs. CHA,10/25/2025,W,15,0,0,3,0,0,3,0,0,0,-,1,3,4,0,0,2,2,3,-11,8.8
Joel Embiid,PHI,PHI vs. CHA,10/25/2025,W,20,20,7,11,63.6,3,6,50,3,5,60,0,2,2,4,2,0,4,0,-2,30.4
Andre Drummond,PHI,PHI vs. CHA,10/25/2025,W,16,7,3,6,50,0,1,0,1,3,33.3,6,7,13,2,2,0,0,2,12,31.6
Taelon Peter,IND,IND @ MEM,10/25/2025,L,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,1,-1,0
RayJ Dennis,IND,IND @ MEM,10/25/2025,L,28,7,1,9,11.1,1,6,16.7,4,4,100,0,2,2,6,0,0,2,5,-8,16.4
Ben Sheppard,IND,IND @ MEM,10/25/2025,L,24,9,4,8,50,1,3,33.3,0,0,-,0,5,5,3,1,0,0,2,-24,22.5
Jarace Walker,IND,IND @ MEM,10/25/2025,L,27,6,2,13,15.4,2,8,25,0,0,-,1,6,7,3,0,1,1,0,-14,20.9
Bennedict Mathurin,IND,IND @ MEM,10/25/2025,L,28,26,8,12,66.7,2,2,100,8,9,88.9,0,3,3,4,0,0,1,0,-18,34.6
Jay Huff,IND,IND @ MEM,10/25/2025,L,10,2,1,2,50,0,1,0,0,0,-,1,1,2,0,0,0,0,0,-12,4.4
Isaiah Jackson,IND,IND @ MEM,10/25/2025,L,12,3,1,4,25,0,0,-,1,1,100,3,2,5,0,0,1,0,1,4,12
Aaron Nesmith,IND,IND @ MEM,10/25/2025,L,31,15,5,11,45.5,4,6,66.7,1,2,50,0,1,1,1,0,1,0,2,-10,20.7
Obi Toppin,IND,IND @ MEM,10/25/2025,L,26,13,5,12,41.7,2,6,33.3,1,1,100,1,8,9,2,0,0,3,4,-11,23.8
James Wiseman,IND,IND @ MEM,10/25/2025,L,20,4,2,3,66.7,0,0,-,0,0,-,4,0,4,0,0,1,3,2,-15,8.8
Tony Bradley,IND,IND @ MEM,10/25/2025,L,7,5,2,3,66.7,0,1,0,1,4,25,0,0,0,0,1,0,1,1,-8,7
Pascal Siakam,IND,IND @ MEM,10/25/2025,L,26,13,5,12,41.7,2,7,28.6,1,2,50,1,5,6,6,0,1,2,3,-8,30.2
Wendell Carter Jr.,ORL,ORL vs. CHI,10/25/2025,L,31,8,1,7,14.3,1,2,50,5,6,83.3,5,8,13,1,1,0,2,5,6,26.1
Nigel Hayes-Davis,PHX,PHX @ DEN,10/25/2025,L,14,4,2,6,33.3,0,2,0,0,0,-,2,3,5,2,0,0,1,1,-6,12
Royce O'Neale,PHX,PHX @ DEN,10/25/2025,L,28,7,2,6,33.3,2,6,33.3,1,2,50,1,3,4,2,0,0,1,4,-23,13.8
Jonas Valančiūnas,DEN,DEN vs. PHX,10/25/2025,W,13,12,4,10,40,0,0,-,4,5,80,2,5,7,1,0,0,1,2,-5,20.9
Grayson Allen,PHX,PHX @ DEN,10/25/2025,L,33,17,6,12,50,5,10,50,0,0,-,0,4,4,5,1,0,0,3,-10,32.3
Spencer Jones,DEN,DEN vs. PHX,10/25/2025,W,3,0,0,0,-,0,0,-,0,0,-,0,0,0,0,1,0,1,0,0,2
Chet Holmgren,OKC,OKC @ ATL,10/25/2025,W,27,31,8,12,66.7,6,8,75,9,10,90,3,8,11,1,3,1,3,3,16,54.7
Ryan Dunn,PHX,PHX @ DEN,10/25/2025,L,23,9,4,8,50,1,3,33.3,0,0,-,2,5,7,2,0,2,0,4,0,26.4
Nikola Jokić,DEN,DEN vs. PHX,10/25/2025,W,32,14,5,8,62.5,0,3,0,4,4,100,1,13,14,15,3,0,5,3,27,57.3
Cameron Johnson,DEN,DEN vs. PHX,10/25/2025,W,25,15,4,9,44.4,1,3,33.3,6,6,100,2,2,4,1,1,0,0,3,15,24.3
Ja Morant,MEM,MEM vs. IND,10/25/2025,W,27,19,5,14,35.7,0,2,0,9,9,100,0,3,3,8,1,0,0,3,7,37.6
Zeke Nnaji,DEN,DEN vs. PHX,10/25/2025,W,3,2,0,0,-,0,0,-,2,2,100,0,0,0,1,0,0,0,1,0,3.5
Bruce Brown,DEN,DEN vs. PHX,10/25/2025,W,22,11,4,6,66.7,2,4,50,1,2,50,1,2,3,3,1,1,2,2,8,23.1
Tim Hardaway Jr.,DEN,DEN vs. PHX,10/25/2025,W,26,4,1,6,16.7,1,5,20,1,2,50,0,0,0,0,1,0,1,3,5,6
Aaron Gordon,DEN,DEN vs. PHX,10/25/2025,W,25,17,5,11,45.5,1,6,16.7,6,6,100,1,1,2,1,3,0,0,0,17,29.9
Shai Gilgeous-Alexander,OKC,OKC @ ATL,10/25/2025,W,29,30,12,17,70.6,2,6,33.3,4,4,100,1,4,5,5,1,1,2,2,16,47.5
Christian Braun,DEN,DEN vs. PHX,10/25/2025,W,31,20,6,10,60,0,1,0,8,8,100,2,1,3,3,2,0,1,3,23,33.1
Devin Booker,PHX,PHX @ DEN,10/25/2025,L,37,31,10,16,62.5,2,5,40,9,9,100,1,2,3,7,0,0,9,1,-13,36.1
Collin Gillespie,PHX,PHX @ DEN,10/25/2025,L,14,6,2,4,50,2,4,50,0,0,-,2,0,2,1,0,0,1,0,-16,8.9
Nick Richards,PHX,PHX @ DEN,10/25/2025,L,10,4,1,1,100,0,0,-,2,2,100,1,3,4,0,0,0,2,4,-10,6.8
Jalen Pickett,DEN,DEN vs. PHX,10/25/2025,W,3,2,1,1,100,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,2
Isaiah Livers,PHX,PHX @ DEN,10/25/2025,L,5,3,1,3,33.3,1,3,33.3,0,0,-,0,0,0,0,0,0,0,0,-2,3
Jordan Goodwin,PHX,PHX @ DEN,10/25/2025,L,5,2,0,2,0,0,1,0,2,3,66.7,0,1,1,1,2,0,1,0,-2,9.7
Oso Ighodaro,PHX,PHX @ DEN,10/25/2025,L,23,4,2,6,33.3,0,0,-,0,2,0,0,1,1,1,0,1,2,5,-9,7.7
Dillon Brooks,PHX,PHX @ DEN,10/25/2025,L,31,15,6,18,33.3,3,13,23.1,0,0,-,0,3,3,2,4,1,1,3,-16,35.6
Jamal Murray,DEN,DEN vs. PHX,10/25/2025,W,32,23,8,17,47.1,3,8,37.5,4,4,100,1,5,6,5,1,0,2,2,15,38.7
Julian Strawther,DEN,DEN vs. PHX,10/25/2025,W,3,3,1,1,100,0,0,-,1,2,50,0,2,2,0,0,0,1,0,0,4.4
Peyton Watson,DEN,DEN vs. PHX,10/25/2025,W,20,7,3,4,75,0,0,-,1,1,100,1,1,2,1,1,0,2,3,5,11.9
Khaman Maluach,PHX,PHX @ DEN,10/25/2025,L,13,6,1,3,33.3,0,1,0,4,4,100,1,1,2,1,0,0,1,4,-1,8.9
DaRon Holmes II,DEN,DEN vs. PHX,10/25/2025,W,3,3,1,1,100,1,1,100,0,0,-,0,0,0,0,0,0,0,1,0,3
Rasheer Fleming,PHX,PHX @ DEN,10/25/2025,L,5,3,1,3,33.3,1,2,50,0,0,-,2,0,2,0,0,0,0,0,-2,5.4
Tyrese Maxey,PHI,PHI vs. CHA,10/25/2025,W,42,28,7,20,35,4,9,44.4,10,12,83.3,1,5,6,9,0,1,2,3,3,49.7
Quentin Grimes,PHI,PHI vs. CHA,10/25/2025,W,30,24,7,14,50,5,8,62.5,5,5,100,1,2,3,4,0,0,2,4,-5,31.6
Ryan Kalkbrenner,CHA,CHA @ PHI,10/25/2025,L,26,14,7,7,100,0,0,-,0,0,-,4,3,7,1,1,1,1,3,1,28.9
VJ Edgecombe,PHI,PHI vs. CHA,10/25/2025,W,40,15,6,15,40,1,3,33.3,2,2,100,1,5,6,8,3,1,2,4,9,44.2
Justin Edwards,PHI,PHI vs. CHA,10/25/2025,W,12,9,3,5,60,3,5,60,0,0,-,0,1,1,0,0,0,2,4,-5,8.2
Tre Mann,CHA,CHA @ PHI,10/25/2025,L,22,4,1,7,14.3,0,5,0,2,2,100,1,4,5,2,0,0,3,4,4,10
Kelly Oubre Jr.,PHI,PHI vs. CHA,10/25/2025,W,37,19,7,10,70,2,3,66.7,3,3,100,0,1,1,1,2,0,0,3,18,27.7
Miles Bridges,CHA,CHA @ PHI,10/25/2025,L,35,18,6,18,33.3,3,9,33.3,3,3,100,2,7,9,7,0,0,1,2,-4,38.3
Adem Bona,PHI,PHI vs. CHA,10/25/2025,W,12,1,0,1,0,0,0,-,1,2,50,0,0,0,1,1,1,0,1,-6,8.5
LaMelo Ball,CHA,CHA @ PHI,10/25/2025,L,34,27,8,18,44.4,4,11,36.4,7,8,87.5,2,8,10,8,3,1,4,5,12,59
Sion James,CHA,CHA @ PHI,10/25/2025,L,19,10,4,5,80,2,2,100,0,0,-,1,1,2,1,0,0,1,0,3,12.9
Jamison Battle,TOR,TOR vs. MIL,10/24/2025,L,11,9,3,3,100,3,3,100,0,0,-,0,2,2,0,1,0,1,1,11,13.4
Jonathan Mogbo,TOR,TOR vs. MIL,10/24/2025,L,4,0,0,0,-,0,0,-,0,0,-,1,1,2,0,0,1,1,0,0,4.4
Jamal Shead,TOR,TOR vs. MIL,10/24/2025,L,12,4,1,6,16.7,0,2,0,2,2,100,0,0,0,4,1,0,0,0,-2,13
Gradey Dick,TOR,TOR vs. MIL,10/24/2025,L,18,5,2,7,28.6,1,3,33.3,0,0,-,1,3,4,1,1,0,1,1,1,13.3
Sandro Mamukelashvili,TOR,TOR vs. MIL,10/24/2025,L,16,4,1,2,50,0,1,0,2,2,100,1,2,3,1,0,0,0,3,-1,9.1
Scottie Barnes,TOR,TOR vs. MIL,10/24/2025,L,36,17,6,15,40,2,4,50,3,4,75,1,4,5,3,3,0,3,3,-17,33.5
Ochai Agbaji,TOR,TOR vs. MIL,10/24/2025,L,12,3,1,1,100,0,0,-,1,2,50,0,1,1,1,0,0,1,3,-2,4.7
Immanuel Quickley,TOR,TOR vs. MIL,10/24/2025,L,37,19,6,14,42.9,1,4,25,6,10,60,3,4,7,8,2,0,2,2,-4,43.4
RJ Barrett,TOR,TOR vs. MIL,10/24/2025,L,33,20,9,12,75,1,3,33.3,1,3,33.3,0,6,6,2,2,2,2,2,-6,40.2
Jakob Poeltl,TOR,TOR vs. MIL,10/24/2025,L,27,6,3,5,60,0,0,-,0,2,0,2,3,5,2,0,0,1,5,-1,14
Brandon Ingram,TOR,TOR vs. MIL,10/24/2025,L,37,29,10,20,50,3,7,42.9,6,7,85.7,1,5,6,3,0,1,4,1,-9,39.7
Tristan da Silva,ORL,ORL vs. ATL,10/24/2025,L,24,15,5,10,50,2,4,50,3,4,75,3,3,6,3,3,0,1,1,8,34.7
Jett Howard,ORL,ORL vs. ATL,10/24/2025,L,4,3,1,2,50,1,2,50,0,0,-,0,0,0,0,0,0,0,0,-2,3
Anthony Black,ORL,ORL vs. ATL,10/24/2025,L,21,8,3,4,75,0,0,-,2,5,40,0,3,3,2,1,0,4,4,2,13.6
Paolo Banchero,ORL,ORL vs. ATL,10/24/2025,L,36,11,4,15,26.7,0,5,0,3,5,60,0,6,6,1,0,0,3,3,-10,16.7
Jalen Suggs,ORL,ORL vs. ATL,10/24/2025,L,19,11,4,5,80,3,4,75,0,0,-,0,3,3,4,0,0,4,4,4,16.6
Franz Wagner,ORL,ORL vs. ATL,10/24/2025,L,35,27,10,17,58.8,2,5,40,5,6,83.3,2,4,6,2,1,0,4,5,-2,36.2
Goga Bitadze,ORL,ORL vs. ATL,10/24/2025,L,17,3,1,3,33.3,0,1,0,1,1,100,2,3,5,0,0,2,0,2,6,15
Wendell Carter Jr.,ORL,ORL vs. ATL,10/24/2025,L,31,10,2,4,50,0,1,0,6,11,54.5,3,5,8,2,2,0,2,4,-10,26.6
Jonathan Isaac,ORL,ORL vs. ATL,10/24/2025,L,0,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0
AJ Green,MIL,MIL @ TOR,10/24/2025,W,26,9,3,5,60,3,5,60,0,0,-,0,1,1,0,1,0,1,2,8,12.2
Ryan Rollins,MIL,MIL @ TOR,10/24/2025,W,30,13,5,11,45.5,1,5,20,2,2,100,2,3,5,2,3,1,3,1,3,31
Cole Anthony,MIL,MIL @ TOR,10/24/2025,W,27,23,9,14,64.3,2,5,40,3,7,42.9,2,2,4,7,2,0,1,3,5,43.3
Amir Coffey,MIL,MIL @ TOR,10/24/2025,W,3,0,0,1,0,0,0,-,0,0,-,0,0,0,0,0,0,1,0,-1,-1
Gary Trent Jr.,MIL,MIL @ TOR,10/24/2025,W,29,20,7,15,46.7,4,11,36.4,2,4,50,0,2,2,4,0,0,1,5,-5,27.4
Kyle Kuzma,MIL,MIL @ TOR,10/24/2025,W,18,8,4,5,80,0,1,0,0,0,-,0,3,3,0,1,1,1,3,-5,16.6
Taurean Prince,MIL,MIL @ TOR,10/24/2025,W,21,3,1,4,25,1,3,33.3,0,0,-,0,3,3,3,1,0,1,1,0,13.1
Bobby Portis,MIL,MIL @ TOR,10/24/2025,W,21,11,5,13,38.5,1,5,20,0,0,-,3,5,8,0,0,0,1,3,-5,19.6
Myles Turner,MIL,MIL @ TOR,10/24/2025,W,28,4,2,8,25,0,3,0,0,0,-,0,5,5,2,1,2,3,4,12,19
Asa Newell,ATL,ATL @ ORL,10/24/2025,W,4,5,2,3,66.7,1,1,100,0,0,-,0,0,0,0,0,0,0,1,9,5
N'Faly Dante,ATL,ATL @ ORL,10/24/2025,W,4,0,0,0,-,0,0,-,0,0,-,1,2,3,0,0,0,1,0,1,2.6
Keaton Wallace,ATL,ATL @ ORL,10/24/2025,W,11,3,1,2,50,1,2,50,0,0,-,0,1,1,2,0,0,0,0,-7,7.2
Dyson Daniels,ATL,ATL @ ORL,10/24/2025,W,32,6,3,7,42.9,0,0,-,0,2,0,0,9,9,4,2,1,2,4,10,29.8
Jalen Johnson,ATL,ATL @ ORL,10/24/2025,W,26,12,5,10,50,0,0,-,2,2,100,2,6,8,1,1,0,3,5,-12,23.1
Vít Krejčí,ATL,ATL @ ORL,10/24/2025,W,14,5,2,3,66.7,1,2,50,0,0,-,0,2,2,1,0,0,1,1,-9,7.9
Onyeka Okongwu,ATL,ATL @ ORL,10/24/2025,W,33,17,5,10,50,1,3,33.3,6,7,85.7,0,4,4,3,1,3,2,5,-11,36.3
Nickeil Alexander-Walker,ATL,ATL @ ORL,10/24/2025,W,31,19,8,18,44.4,1,10,10,2,2,100,0,1,1,4,1,0,1,0,-1,28.2
Daniss Jenkins,DET,DET @ HOU,10/24/2025,W,5,5,1,3,33.3,1,2,50,2,2,100,0,0,0,0,0,0,0,0,5,5
Ronald Holland II,DET,DET @ HOU,10/24/2025,W,13,11,3,7,42.9,2,5,40,3,4,75,2,3,5,3,2,0,2,6,6,25.5
Isaiah Stewart,DET,DET @ HOU,10/24/2025,W,17,4,1,4,25,1,3,33.3,1,4,25,1,3,4,0,0,2,1,6,2,13.8
Tobias Harris,DET,DET @ HOU,10/24/2025,W,40,9,4,12,33.3,1,4,25,0,0,-,1,7,8,4,1,1,1,3,-3,29.6
Javon Small,MEM,MEM vs. MIA,10/24/2025,L,22,9,2,9,22.2,2,6,33.3,3,4,75,0,2,2,8,0,0,3,2,-6,20.4
Cedric Coward,MEM,MEM vs. MIA,10/24/2025,L,22,16,5,9,55.6,2,5,40,4,4,100,0,2,2,2,2,0,0,2,-9,27.4
Jaylen Wells,MEM,MEM vs. MIA,10/24/2025,L,22,9,3,9,33.3,3,7,42.9,0,0,-,1,3,4,1,0,0,1,2,-26,14.3
Cam Spencer,MEM,MEM vs. MIA,10/24/2025,L,15,2,0,5,0,0,4,0,2,2,100,0,2,2,3,0,0,2,0,-18,6.9
PJ Hall,MEM,MEM vs. MIA,10/24/2025,L,14,7,3,4,75,1,2,50,0,0,-,0,3,3,0,0,1,0,3,5,13.6
Olivier-Maxence Prosper,MEM,MEM vs. MIA,10/24/2025,L,17,8,2,3,66.7,0,0,-,4,4,100,3,1,4,1,0,0,3,0,-17,11.3
GG Jackson,MEM,MEM vs. MIA,10/24/2025,L,16,5,2,7,28.6,0,3,0,1,2,50,1,1,2,0,1,0,0,1,-22,10.4
Santi Aldama,MEM,MEM vs. MIA,10/24/2025,L,20,13,6,9,66.7,1,2,50,0,1,0,3,5,8,0,1,0,1,0,-12,24.6
John Konchar,MEM,MEM vs. MIA,10/24/2025,L,8,3,1,1,100,1,1,100,0,0,-,0,1,1,1,1,1,0,0,10,11.7
Ja Morant,MEM,MEM vs. MIA,10/24/2025,L,22,12,4,16,25,0,4,0,4,4,100,1,1,2,6,0,0,3,2,-22,20.4
Jock Landale,MEM,MEM vs. MIA,10/24/2025,L,18,4,1,3,33.3,0,2,0,2,2,100,3,2,5,0,0,1,2,2,-14,11
Jaren Jackson Jr.,MEM,MEM vs. MIA,10/24/2025,L,21,19,7,14,50,1,4,25,4,4,100,0,3,3,1,1,1,3,4,-18,27.1
Kentavious Caldwell-Pope,MEM,MEM vs. MIA,10/24/2025,L,23,7,2,6,33.3,2,5,40,1,1,100,0,3,3,6,2,0,2,1,-11,23.6
Carter Bryant,SAS,SAS @ NOP,10/24/2025,W,3,0,0,1,0,0,1,0,0,0,-,0,1,1,0,0,0,0,0,-5,1.2
Dylan Harper,SAS,SAS @ NOP,10/24/2025,W,26,13,3,12,25,1,5,20,6,6,100,1,4,5,3,1,0,3,5,5,23.5
Victor Wembanyama,SAS,SAS @ NOP,10/24/2025,W,32,29,13,23,56.5,0,3,0,3,4,75,3,8,11,2,1,9,0,6,-12,75.2
Devin Vassell,SAS,SAS @ NOP,10/24/2025,W,40,23,8,19,42.1,6,14,42.9,1,2,50,1,4,5,1,1,0,4,4,22,29.5
Keldon Johnson,SAS,SAS @ NOP,10/24/2025,W,19,8,4,7,57.1,0,1,0,0,2,0,5,5,10,1,0,0,0,6,-13,21.5
Jordan McLaughlin,SAS,SAS @ NOP,10/24/2025,W,6,3,1,2,50,1,2,50,0,0,-,0,0,0,0,0,0,0,0,-5,3
Luke Kornet,SAS,SAS @ NOP,10/24/2025,W,35,14,6,9,66.7,0,0,-,2,4,50,9,3,12,4,0,1,0,1,11,37.4
Harrison Barnes,SAS,SAS @ NOP,10/24/2025,W,34,7,2,5,40,1,3,33.3,2,2,100,0,1,1,5,1,2,0,2,12,24.7
Tyler Kolek,NYK,NYK vs. BOS,10/24/2025,W,13,2,1,2,50,0,1,0,0,0,-,0,0,0,4,1,0,3,1,3,8
Miles McBride,NYK,NYK vs. BOS,10/24/2025,W,32,10,3,11,27.3,2,9,22.2,2,2,100,2,2,4,4,1,1,0,2,3,26.8
Landry Shamet,NYK,NYK vs. BOS,10/24/2025,W,14,3,1,2,50,1,2,50,0,0,-,0,3,3,0,0,0,2,1,-8,4.6
Jalen Brunson,NYK,NYK vs. BOS,10/24/2025,W,35,31,10,20,50,3,7,42.9,8,9,88.9,0,3,3,5,0,0,1,1,7,41.1
Mikal Bridges,NYK,NYK vs. BOS,10/24/2025,W,36,12,5,10,50,2,4,50,0,0,-,2,4,6,2,2,1,2,2,15,29.2
Josh Hart,NYK,NYK vs. BOS,10/24/2025,W,19,2,1,8,12.5,0,3,0,0,0,-,6,8,14,3,0,0,0,3,-2,23.3
OG Anunoby,NYK,NYK vs. BOS,10/24/2025,W,29,10,3,10,30,2,7,28.6,2,2,100,1,1,2,1,2,0,1,3,10,18.9
Guerschon Yabusele,NYK,NYK vs. BOS,10/24/2025,W,13,3,1,2,50,1,2,50,0,0,-,3,2,5,1,0,0,0,0,4,10.5
Karl-Anthony Towns,NYK,NYK vs. BOS,10/24/2025,W,33,26,6,16,37.5,4,6,66.7,10,12,83.3,6,7,13,3,1,1,5,2,6,47.1
Jordan Clarkson,NYK,NYK vs. BOS,10/24/2025,W,16,6,2,5,40,2,4,50,0,0,-,1,2,3,0,0,1,1,2,12,11.6
Ben Saraf,BKN,BKN vs. CLE,10/24/2025,L,18,2,1,2,50,0,0,-,0,0,-,0,0,0,1,0,0,3,2,-11,0.5
Egor Dëmin,BKN,BKN vs. CLE,10/24/2025,L,25,9,3,5,60,3,5,60,0,0,-,1,5,6,4,0,0,3,4,4,19.2
Noah Clowney,BKN,BKN vs. CLE,10/24/2025,L,20,5,2,4,50,1,3,33.3,0,0,-,2,3,5,3,1,0,4,0,4,14.5
Tyrese Martin,BKN,BKN vs. CLE,10/24/2025,L,9,3,1,4,25,1,2,50,0,0,-,0,3,3,1,0,0,0,0,-8,8.1
Day'Ron Sharpe,BKN,BKN vs. CLE,10/24/2025,L,14,2,1,2,50,0,0,-,0,0,-,0,2,2,3,1,0,2,3,6,9.9
Ziaire Williams,BKN,BKN vs. CLE,10/24/2025,L,27,25,9,13,69.2,6,9,66.7,1,1,100,1,1,2,0,2,0,0,4,12,33.4
Nic Claxton,BKN,BKN vs. CLE,10/24/2025,L,31,10,5,14,35.7,0,1,0,0,0,-,5,4,9,4,3,0,2,5,-18,33.8
Terance Mann,BKN,BKN vs. CLE,10/24/2025,L,24,4,2,6,33.3,0,4,0,0,0,-,1,0,1,2,1,0,0,4,-12,11.2
Michael Porter Jr.,BKN,BKN vs. CLE,10/24/2025,L,36,31,13,22,59.1,5,10,50,0,0,-,0,8,8,3,1,0,2,3,-1,46.1
Jahmir Young,MIA,MIA @ MEM,10/24/2025,W,7,2,1,3,33.3,0,1,0,0,0,-,0,1,1,1,0,0,1,1,-9,3.7
Keshad Johnson,MIA,MIA @ MEM,10/24/2025,W,8,5,2,5,40,1,3,33.3,0,0,-,0,3,3,0,1,0,0,0,-10,11.6
Pelle Larsson,MIA,MIA @ MEM,10/24/2025,W,8,8,3,5,60,2,3,66.7,0,0,-,1,1,2,0,1,0,2,2,-10,11.4
Simone Fontecchio,MIA,MIA @ MEM,10/24/2025,W,23,14,5,9,55.6,4,8,50,0,0,-,0,4,4,2,2,0,1,4,25,26.8
Jaime Jaquez Jr.,MIA,MIA @ MEM,10/24/2025,W,27,17,8,12,66.7,0,1,0,1,1,100,3,7,10,6,2,0,3,2,43,41
Nikola Jović,MIA,MIA @ MEM,10/24/2025,W,27,20,6,9,66.7,3,6,50,5,5,100,1,5,6,4,1,1,1,2,33,38.2
Dru Smith,MIA,MIA @ MEM,10/24/2025,W,21,10,4,8,50,2,3,66.7,0,0,-,2,1,3,5,3,1,1,2,35,32.1
Bam Adebayo,MIA,MIA @ MEM,10/24/2025,W,28,24,8,19,42.1,4,8,50,4,4,100,1,4,5,4,1,0,1,2,25,38
Andrew Wiggins,MIA,MIA @ MEM,10/24/2025,W,24,10,4,8,50,0,1,0,2,5,40,4,3,7,3,1,1,2,3,0,26.9
Clint Capela,HOU,HOU vs. DET,10/24/2025,L,4,2,1,1,100,0,0,-,0,0,-,2,2,4,0,0,0,0,0,8,6.8
Derik Queen,NOP,NOP vs. SAS,10/24/2025,L,35,15,6,11,54.5,0,1,0,3,4,75,1,5,6,1,1,2,1,6,5,31.7
Jordan Hawkins,NOP,NOP vs. SAS,10/24/2025,L,18,7,3,7,42.9,1,4,25,0,0,-,1,0,1,1,0,0,0,0,16,9.7
Saddiq Bey,NOP,NOP vs. SAS,10/24/2025,L,28,9,3,7,42.9,3,4,75,0,0,-,2,1,3,2,0,0,0,0,-15,15.6
Jordan Poole,NOP,NOP vs. SAS,10/24/2025,L,41,21,8,20,40,3,9,33.3,2,2,100,1,3,4,5,0,1,3,4,-15,33.3
Zion Williamson,NOP,NOP vs. SAS,10/24/2025,L,37,27,8,18,44.4,0,0,-,11,16,68.8,5,5,10,7,3,0,4,2,6,54.5
Jaylon Tyson,CLE,CLE @ BKN,10/24/2025,W,23,8,3,4,75,2,3,66.7,0,0,-,1,3,4,1,3,1,1,3,-1,25.3
Evan Mobley,CLE,CLE @ BKN,10/24/2025,W,34,13,5,12,41.7,1,4,25,2,4,50,3,5,8,5,0,2,3,2,-8,33.1
Sam Merrill,CLE,CLE @ BKN,10/24/2025,W,26,22,6,11,54.5,6,10,60,4,4,100,1,0,1,5,1,1,4,4,14,32.7
Dean Wade,CLE,CLE @ BKN,10/24/2025,W,27,6,2,7,28.6,1,6,16.7,1,1,100,1,5,6,1,0,0,0,2,-8,14.7
Jarrett Allen,CLE,CLE @ BKN,10/24/2025,W,30,22,8,11,72.7,0,1,0,6,9,66.7,2,5,7,4,2,1,2,2,24,43.4
Donovan Mitchell,CLE,CLE @ BKN,10/24/2025,W,35,35,10,15,66.7,6,10,60,9,12,75,0,2,2,5,3,0,3,3,22,50.9
Lonzo Ball,CLE,CLE @ BKN,10/24/2025,W,22,2,0,4,0,0,2,0,2,2,100,0,2,2,8,2,0,2,0,0,20.4
Larry Nance Jr.,CLE,CLE @ BKN,10/24/2025,W,16,9,4,8,50,0,1,0,1,3,33.3,1,2,3,1,1,0,0,0,-5,17.1
Amari Williams,BOS,BOS @ NYK,10/24/2025,L,1,0,0,0,-,0,0,-,0,0,-,1,0,1,0,0,0,0,0,0,1.2
Hugo González,BOS,BOS @ NYK,10/24/2025,L,23,6,3,6,50,0,2,0,0,0,-,1,3,4,1,2,0,0,4,7,18.3
Jordan Walsh,BOS,BOS @ NYK,10/24/2025,L,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-8,0
Baylor Scheierman,BOS,BOS @ NYK,10/24/2025,L,4,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,0,1,1.2
Sam Hauser,BOS,BOS @ NYK,10/24/2025,L,28,18,6,10,60,6,10,60,0,0,-,0,3,3,0,1,1,1,1,-14,26.6
Xavier Tillman,BOS,BOS @ NYK,10/24/2025,L,14,7,3,3,100,1,1,100,0,0,-,2,1,3,0,0,0,1,2,-9,9.6
Payton Pritchard,BOS,BOS @ NYK,10/24/2025,L,36,8,2,10,20,1,7,14.3,3,3,100,0,5,5,6,1,0,1,3,-7,25
Neemias Queta,BOS,BOS @ NYK,10/24/2025,L,22,8,3,5,60,0,0,-,2,3,66.7,2,5,7,1,0,1,2,3,-2,18.9
Anfernee Simons,BOS,BOS @ NYK,10/24/2025,L,27,10,4,9,44.4,1,4,25,1,2,50,0,1,1,4,3,0,2,2,-9,24.2
Chris Boucher,BOS,BOS @ NYK,10/24/2025,L,15,0,0,3,0,0,2,0,0,0,-,1,3,4,0,1,4,0,2,5,19.8
